"","X.1","X","date","val","diff","change","key","race","sex"
"183",183,183,"2019-09-01",66387,687,1.04566210045662,"white_men","white","men"
"184",184,184,"2019-10-01",66285,585,0.89041095890411,"white_men","white","men"
"185",185,185,"2019-11-01",66306,606,0.922374429223744,"white_men","white","men"
"186",186,186,"2019-12-01",65892,192,0.292237442922374,"white_men","white","men"
"187",187,187,"2020-01-01",65439,-261,-0.397260273972603,"white_men","white","men"
"188",188,188,"2020-02-01",65700,0,0,"white_men","white","men"
"189",189,189,"2020-03-01",64698,-1002,-1.52511415525114,"white_men","white","men"
"190",190,190,"2020-04-01",57262,-8438,-12.8432267884323,"white_men","white","men"
"191",191,191,"2020-05-01",59176,-6524,-9.92998477929985,"white_men","white","men"
"192",192,192,"2020-06-01",61181,-4519,-6.87823439878234,"white_men","white","men"
"193",193,193,"2020-07-01",61557,-4143,-6.30593607305936,"white_men","white","men"
"194",194,194,"2020-08-01",62667,-3033,-4.61643835616438,"white_men","white","men"
"195",195,195,"2020-09-01",62817,-2883,-4.38812785388128,"white_men","white","men"
"196",196,196,"2020-10-01",63493,-2207,-3.35920852359209,"white_men","white","men"
"197",197,197,"2020-11-01",62885,-2815,-4.28462709284627,"white_men","white","men"
"198",198,198,"2020-12-01",62474,-3226,-4.91019786910198,"white_men","white","men"
"199",199,199,"2021-01-01",62082,-3618,-5.50684931506849,"white_men","white","men"
"200",200,200,"2021-02-01",62390,-3310,-5.03805175038052,"white_men","white","men"
